names,smiles
ZINC000014291250,Cc1ccc(C(=O)N2CCN(c3c(Cl)cccc3NC(=O)c3ccc(C#N)cc3F)CC2)cc1
ZINC000009240676,Cc1cccc(N2CCN(c3nc4ccccc4nc3C(C#N)S(=O)(=O)c3ccccc3)CC2)c1C
ZINC000013364945,CCCc1c(C)nc2ncnn2c1Nc1ccc(N2CCN(C(=O)c3ccccc3F)CC2)cc1
ZINC000025184738,CC1=NN(c2ccc(Cl)cc2)C(=O)C12Cc1ccccc1N1CCN(c3ccccn3)CC12
ZINC000012421505,O=C(Nc1ccc(Cl)cc1)N1CCN(CC(O)Cn2c3ccccc3c3ccccc32)CC1
ZINC000044928596,Fc1ccc(N2CCN(c3ncnc4c3cnn4NCc3ccc(Cl)cc3Cl)CC2)cc1
ZINC000006148121,N#CC(C(=O)Nc1ccc(Cl)cc1Cl)=c1sc(=Cc2cccnc2)c(=O)n1-c1ccccc1
ZINC000000624284,Cc1ccccc1C(=O)N1CCN(c2ccc(NC(=O)c3ccc(C#N)cc3F)cc2Cl)CC1
ZINC000057424901,CN1CCc2c(n(CC(O)CN3c4ccccc4Sc4ccccc43)c3ccccc23)C1=O
ZINC000008871166,N#CC(c1nc2ccccc2nc1N1CCN(c2ccccc2)CC1)S(=O)(=O)c1ccc(F)cc1
ZINC000585266730,Cc1ccccc1CCc1nc(N2CCCC2c2ccc(Cl)cc2)ncc1C(=O)NCCN(C)C
ZINC000008593190,CCN(CC)CCNC(=O)c1ccc2c(=O)n3nc(Nc4cccc(Cl)c4C)sc3nc2c1
ZINC000009448455,CC1(C)Cc2c(C#N)c(Nc3ccccc3)n3c(SCC(=O)Nc4ccccc4)nnc3c2CO1
ZINC000003842059,Cn1cc(CN2CC3CC(C2)c2ccc(NC(=O)Nc4cccc(C#N)c4)c(=O)n2C3)c2ccccc21
ZINC000008871142,Cc1cccc(N2CCN(c3nc4ccccc4nc3C(C#N)C(=O)OCc3ccccc3)CC2)c1C
ZINC000101354365,CC1=NN(c2ccccc2)C(=O)C1=Cc1cn(CC(O)CNCc2ccc(F)cc2)c2ccccc12
ZINC000101346966,N=c1c(C(=O)Nc2ccccc2Cl)cc2c(=O)n3ccccc3nc2n1CCc1ccccc1
ZINC000049672415,N#CC(C(=O)OCc1ccccc1)c1nc2ccccc2nc1N1CCN(C=Cc2ccccc2)CC1
ZINC000009328747,N#CC(C(=O)NC1CCCCC1)c1nc2ccccc2nc1N1CCN(CC=Cc2ccccc2)CC1
ZINC000009634364,Cc1ccc(-n2nc(C)c3c2NC(=O)C(NC(=O)c2cccc(C)c2)C3c2ccc(C#N)cc2)cc1
ZINC000001186541,Cc1c(Nc2nc3ccccc3nc2N2CCN(c3ccccc3)CC2)c(=O)n(-c2ccccc2)n1C
ZINC000052509388,C=CC(=O)Nc1cccc(Sc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1
ZINC000009225137,Cc1ccc(NC(=O)Cn2c(=O)c(CNc3ccccc3)cc3cc4c(cc32)OCCO4)c(Cl)c1
ZINC000012455724,O=c1c(CNCc2cnn(-c3ccccc3)n2)cc2ccc(F)cc2n1Cc1ccccc1Cl
ZINC000019720345,CCOc1ccccc1N1CCN(Cc2cc3ccc(Cl)cc3n(Cc3ccccn3)c2=O)CC1
ZINC000002881317,N#Cc1ccc(C(=O)Nc2ccccc2N2CCN(C(=O)c3ccc(Cl)cc3)CC2)c(F)c1
ZINC000065363672,Cc1cccc(Nc2ccc(N3CCN(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CC3)nn2)n1
ZINC000002409867,Cc1cccc(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CCN(c3ccccc3)CC2)c1
ZINC000013811160,CC(C)c1ccc(NC(=O)C(C#N)=c2sc(=Cc3ccc(F)cc3)c(=O)n2-c2ccccc2)cc1
ZINC000096038421,Cc1ccc(NC(=O)c2ccc3ccc(N4CCN(c5ncccn5)CC4)n3c2)cc1Cl
ZINC001565524962,CN1c2ccccc2C(=O)N2CCc3c(n(CC(=O)Nc4cc(Cl)ccn4)c4ccccc34)C21
ZINC000003027400,CCN(CCNC(=O)c1cc(Sc2nnc(C)s2)nc2ccccc12)c1ccccc1
ZINC000020295678,Cc1c(Cl)cccc1NC(=O)Cn1c(=O)cc(C(=O)N2CCc3ccccc3C2)c2ccccc21
ZINC000020108606,CCN1CCN(c2cc(C)c3cc(NC(=O)C=Cc4ccccc4Cl)ccc3n2)CC1
ZINC000055393753,Cc1cccc(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CCN(Cc3ccccc3)CC2)c1
ZINC000009548516,CCN1CCN(c2ccc(NC(=O)c3ccc(Cn4nnc5ccccc54)cc3)cc2)CC1
ZINC000002402530,Cc1ccc(C=c2sc(=C(C#N)C(=O)Nc3ccc(C(C)C)cc3)n(-c3ccccc3)c2=O)cc1
ZINC000020395671,Cc1ccc(Cl)cc1NC(=O)Cn1c(=O)cc(C(=O)N2CCc3ccccc3C2)c2ccccc21
ZINC000009276259,Cc1ccc(Nc2nc(N3CCN(c4ccc(F)cc4)CC3)nc3c2cnn3C)cc1Cl
ZINC000020992607,CN1CCN(Cc2cc(-c3ccc(F)cc3)ccc2OCC(=O)NCc2cnc3ccccc3c2)CC1
ZINC000009500283,N#CC(C(=O)Nc1ccc(Cl)cc1)=c1sc(=Cc2ccccc2Cl)c(=O)n1-c1ccccc1
ZINC000009065570,CCCCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(c2ccc(F)cc2)CC1
ZINC000009345287,Cc1cccc(NC(=O)C(C#N)=c2sc(=Cc3ccccc3Cl)c(=O)n2-c2ccccc2)c1
ZINC000013641218,Cc1cc(C(=O)N2CCN(c3cc(Cl)ccc3C)CC2)c2c(-c3ccc4c(c3)OCO4)noc2n1
ZINC000143157631,Cc1c[nH]c2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc(-c3cccc(CC#N)c3)c12
ZINC000009075889,Cc1cccc(N2CCN(c3nc4ccccc4nc3C(C#N)C(=O)NC3CCCCC3)CC2)c1C
ZINC000012860975,N#Cc1ccc(C(=O)Nc2ccc(N3CCN(C(=O)c4ccccc4)CC3)c(Cl)c2)c(F)c1
ZINC000006148119,CC(C)c1ccc(NC(=O)C(C#N)=c2sc(=Cc3ccncc3)c(=O)n2-c2ccccc2)cc1
ZINC000225862529,CC1Cc2cccc3c(=O)c(C(=O)NCCCNc4ccnc5cc(Cl)ccc45)cn1c23
ZINC000101068610,Cc1ccccc1-n1c(=C(C#N)C(=O)Nc2ccccc2)sc(=Cc2ccccc2Cl)c1=O
ZINC000009353386,CCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(c2cccc(C(F)(F)F)c2)CC1
ZINC000095590396,O=C(NCC1(N2CCN(c3ccccc3)CC2)CCOCC1)c1cccnc1Sc1ccccc1
ZINC000257219229,CCN1CC(c2cc(NCc3ccccc3)n3ncc(C(=O)Nc4ccc(Cl)cc4)c3n2)CC1=O
ZINC000101097975,Cc1cccn2c(=O)c3cc(C(=O)NCc4ccccc4Cl)c(=N)n(CCc4ccccc4)c3nc12
ZINC000039534673,CCN1CCN(c2ccc(NC(=O)c3nccnc3-c3nc4ccccc4s3)cc2C)CC1
ZINC000012564366,N#Cc1ccc(C=Nn2c(-c3ccc4c(c3)NC(=O)CO4)csc2=Nc2ccc(F)cc2F)cc1
ZINC000013039362,Cc1nn(-c2ccccc2)c2c1C(c1cccc(F)c1)C(NC(=O)c1ccc(Cl)cc1)C(=O)N2
ZINC000009144474,CCOc1ccccc1N1CCN(c2nc3ccccc3nc2C(C#N)C(=O)NC2CCCCC2)CC1
ZINC000002221864,Cc1ccc(C=c2sc(=C(C#N)C(=O)Nc3cccc(Cl)c3)n(-c3ccccc3)c2=O)cc1
ZINC000002194413,Cc1ccc(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CCN(c3ccccc3)CC2)cc1
ZINC000001370856,O=C(Nc1ccccc1F)N1CCN(c2ncnc3c(-c4ccc(Cl)cc4)nsc23)CC1
ZINC000019908722,CCc1nc2c(cnn2-c2ccc(Cl)cc2)c(=O)n1-c1ccc(N2CCN(CC)CC2)cc1
ZINC000101127214,Cc1cccn2c(=O)c3cc(C(=O)NCCc4ccccc4)c(=N)n(Cc4ccccc4Cl)c3nc12
ZINC000016779040,Cc1ccccc1NC(=O)C(C#N)=c1sc(=Cc2ccccc2Cl)c(=O)n1-c1ccccc1
ZINC000006148100,N#CC(C(=O)Nc1ccc(Cl)cc1)=c1sc(=Cc2ccncc2)c(=O)n1-c1ccccc1
ZINC000015682336,Cc1cc(Cl)ccc1Nc1nc(N2CCN(c3ccc(F)cc3)CC2)nc2c1cnn2C
ZINC000020108631,CCN1CCN(c2cc(C)c3cc(NC(=O)C=Cc4cccc(Cl)c4)ccc3n2)CC1
ZINC000020495077,O=C(Nc1ccc(N2CCN(Cc3ccccc3F)CC2)cc1)c1ccc2nsnc2c1
ZINC000002393633,N#CC(c1nc2ccccc2nc1N1CCN(c2ccc(F)cc2)CC1)S(=O)(=O)c1ccccc1
ZINC000002236881,Cc1ccc(C=c2sc(=C(C#N)C(=O)Nc3ccc(Cl)cc3)n(-c3ccccc3)c2=O)cc1
ZINC000009225212,Cc1ccc(NCc2cc3cc4c(cc3n(CC(=O)Nc3ccccc3Cl)c2=O)OCCO4)cc1
ZINC000009111492,CCN1CCN(c2ccc(NC(=O)c3cccc(-c4cc5ccccc5oc4=O)c3)cc2)CC1
ZINC000010272476,Cc1ccc(NCc2cc3cc4c(cc3n(CC(=O)Nc3cccc(Cl)c3)c2=O)OCCO4)cc1
ZINC000009767892,CCN1CCN(c2ccc(Cl)cc2NC(=O)c2ccc(-n3nc(C)cc3C)cc2)CC1
ZINC000022851513,O=C(NCC(c1ccc2c(c1)OCO2)N1CCN(c2ccccc2F)CC1)Nc1ccc(Cl)cc1
ZINC000002259828,CC(C)COC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(c2cccc(Cl)c2)CC1
ZINC000057332439,N#Cc1c(CN2CCN(c3cnn(-c4ccccc4)c(=O)c3Cl)CC2)cn2ccccc12
ZINC000011665974,O=C(NCCn1ncc2c(N3CCN(c4ccccc4)CC3)ncnc21)c1c(F)cccc1Cl
ZINC000009468737,CCN1CCN(c2ccc(NC(=O)c3cc(-c4cccnc4)nc4ccccc34)cc2)CC1
ZINC000035292162,N#Cc1cc2cc3c(cc2nc1N1CCCN(C(=O)Nc2ccccc2Cl)CC1)OCO3
ZINC000100970629,N#CC(C(=O)Nc1ccc(Cl)cc1)=c1sc(=Cc2ccc(Cl)cc2)c(=O)n1-c1ccccc1
ZINC000022851564,O=C(NCC(c1ccc2c(c1)OCO2)N1CCN(c2ccccc2F)CC1)Nc1cccc(Cl)c1
ZINC000101150443,Cc1ccc(CNC(=O)c2cc3c(=O)n4cccc(C)c4nc3n(Cc3ccccc3Cl)c2=N)cc1
ZINC000012352209,CCN1CCN(c2ccc(NC(=O)c3ccc(-c4cc5ccccc5oc4=O)cc3)cc2)CC1
ZINC000006148097,N#CC(C(=O)Nc1ccc(Cl)cc1)=c1sc(=Cc2cccnc2)c(=O)n1-c1ccccc1
ZINC000009225207,Cc1ccc(NCc2cc3cc4c(cc3n(CC(=O)Nc3ccc(Cl)cc3)c2=O)OCCO4)cc1
ZINC000009074512,Cc1ccc(Nc2nc(N3CCN(c4cccc(Cl)c4)CC3)nc3nccnc23)cc1C
ZINC000006148117,CC(C)c1ccc(NC(=O)C(C#N)=c2sc(=Cc3cccnc3)c(=O)n2-c2ccccc2)cc1
ZINC001772500474,CN1c2ccccc2C(=O)N2CCc3c(n(CC(=O)Nc4ccc(Cl)cn4)c4ccccc34)C21
ZINC000002880787,CCN(CC)c1ccc(-n2nc3cc(C)c(NC(=O)c4ccc(C#N)cc4F)cc3n2)cc1
ZINC000011665944,O=C(NCCn1ncc2c(N3CCN(c4ccc(F)cc4)CC3)ncnc21)c1cccc(Cl)c1
ZINC000057063746,Cc1ccc(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CCN(Cc3ccccc3)CC2)cc1
